"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"More Than 20 (Total)","41% (74)","32% (38)","58% (31)","0% (0)","60% (3)","100% (2)","44% (66)","17% (2)","36% (33)","46% (41)","49% (21)","41% (34)","37% (17)","25% (2)","52% (29)","30% (11)","64% (23)","22% (11)","38% (50)","51% (24)"
"  21 - 30","34% (61)","27% (32)","49% (26)","0% (0)","40% (2)","50% (1)","36% (54)","8% (1)","32% (29)","36% (32)","40% (17)","34% (28)","30% (14)","25% (2)","41% (23)","19% (7)","58% (21)","20% (10)","30% (40)","45% (21)"
"  31+","7% (13)","5% (6)","9% (5)","0% (0)","20% (1)","50% (1)","8% (12)","8% (1)","4% (4)","10% (9)","9% (4)","7% (6)","7% (3)","0% (0)","11% (6)","11% (4)","6% (2)","2% (1)","8% (10)","6% (3)"
"Mean (overall)","18","16.4","20.7","NaN","22","32.5","18.6","14.4","17","19","19.5","17.9","17.4","13.3","19.3","16.3","22.1","15","17.2","20.2"
"Mean (minus outliers)","18","16.4","20.7","NaN","22","32.5","18.6","12.5","17","19","19.5","17.9","17.4","13.3","19.3","16.3","22.1","15","17.2","20.2"
"Median (overall)","17","15","23",NA,"25","32.5","18.5","12","17","18","20","17","16","10.5","21.5","13","24","14","16","22"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s7","","","","","","","","","","","","","","","","","","","",""
"Full-Time","100% (180)","100% (120)","100% (53)","0% (0)","100% (5)","100% (2)","100% (150)","100% (12)","100% (91)","100% (89)","100% (43)","100% (83)","100% (46)","100% (8)","100% (56)","100% (37)","100% (36)","100% (49)","100% (133)","100% (47)"
"Part-Time","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s9","","","","","","","","","","","","","","","","","","","",""
"Private Solo Practice","16% (28)","8% (9)","34% (18)","0% (0)","20% (1)","0% (0)","17% (25)","17% (2)","11% (10)","20% (18)","9% (4)","16% (13)","22% (10)","13% (1)","9% (5)","8% (3)","36% (13)","14% (7)","7% (9)","40% (19)"
"Private Group Practice","39% (70)","39% (47)","36% (19)","0% (0)","40% (2)","100% (2)","39% (58)","33% (4)","38% (35)","39% (35)","44% (19)","36% (30)","37% (17)","50% (4)","43% (24)","35% (13)","39% (14)","39% (19)","40% (53)","36% (17)"
"Multi-specialty Practice / Comprehensive Care","12% (21)","8% (9)","23% (12)","0% (0)","0% (0)","0% (0)","11% (16)","8% (1)","12% (11)","11% (10)","9% (4)","16% (13)","9% (4)","0% (0)","9% (5)","16% (6)","19% (7)","6% (3)","13% (17)","9% (4)"
"Staff HMO","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"Community Hospital","17% (30)","23% (28)","4% (2)","0% (0)","0% (0)","0% (0)","15% (23)","33% (4)","20% (18)","13% (12)","12% (5)","17% (14)","22% (10)","13% (1)","21% (12)","16% (6)","3% (1)","20% (10)","20% (27)","6% (3)"
"Academic/University Hospital","17% (31)","23% (27)","4% (2)","0% (0)","40% (2)","0% (0)","19% (28)","8% (1)","19% (17)","16% (14)","26% (11)","16% (13)","11% (5)","25% (2)","18% (10)","24% (9)","3% (1)","20% (10)","20% (27)","9% (4)"
"VA Hospital","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"None of the above","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s10","","","","","","","","","","","","","","","","","","","",""
"400 or Less (Total)","72% (130)","75% (90)","66% (35)","0% (0)","80% (4)","50% (1)","71% (106)","100% (12)","58% (53)","87% (77)","72% (31)","70% (58)","74% (34)","88% (7)","71% (40)","81% (30)","67% (24)","69% (34)","73% (97)","70% (33)"
"  56 - 199","11% (20)","15% (18)","2% (1)","0% (0)","20% (1)","0% (0)","7% (11)","33% (4)","1% (1)","21% (19)","9% (4)","6% (5)","20% (9)","25% (2)","13% (7)","11% (4)","6% (2)","12% (6)","14% (18)","4% (2)"
"  200 - 400","61% (110)","60% (72)","64% (34)","0% (0)","60% (3)","50% (1)","63% (95)","67% (8)","57% (52)","65% (58)","63% (27)","64% (53)","54% (25)","63% (5)","59% (33)","70% (26)","61% (22)","57% (28)","59% (79)","66% (31)"
"More Than 400 (Total)","28% (50)","25% (30)","34% (18)","0% (0)","20% (1)","50% (1)","29% (44)","0% (0)","42% (38)","13% (12)","28% (12)","30% (25)","26% (12)","13% (1)","29% (16)","19% (7)","33% (12)","31% (15)","27% (36)","30% (14)"
"  401 - 700","24% (43)","20% (24)","34% (18)","0% (0)","0% (0)","50% (1)","25% (38)","0% (0)","35% (32)","12% (11)","23% (10)","27% (22)","22% (10)","13% (1)","27% (15)","11% (4)","33% (12)","24% (12)","23% (30)","28% (13)"
"  701+","4% (7)","5% (6)","0% (0)","0% (0)","20% (1)","0% (0)","4% (6)","0% (0)","7% (6)","1% (1)","5% (2)","4% (3)","4% (2)","0% (0)","2% (1)","8% (3)","0% (0)","6% (3)","5% (6)","2% (1)"
"Mean (overall)","356.3","342.4","385.4","NaN","374","375","367.4","231.3","417.1","294.2","363.2","373.3","331.9","284.4","356.1","352.9","383.2","346.3","351.2","371"
"Mean (minus outliers)","339.3","316.2","385.4","NaN","267.5","375","347.3","231.3","405.2","288.4","337","366.8","310.6","284.4","348","306.2","383.2","346.3","328","371"
"Median (overall)","350","300","400",NA,"300","375","350","210","400","300","333","380","310","275","390","325","400","300","325","350"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: s11","","","","","","","","","","","","","","","","","","","",""
"100 or Less (Total)","48% (87)","34% (41)","74% (39)","0% (0)","100% (5)","100% (2)","47% (71)","58% (7)","0% (0)","98% (87)","33% (14)","47% (39)","65% (30)","50% (4)","34% (19)","43% (16)","83% (30)","41% (20)","44% (59)","60% (28)"
"  20 - -1","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)","0% (0)"
"  0 - 100","48% (87)","34% (41)","74% (39)","0% (0)","100% (5)","100% (2)","47% (71)","58% (7)","0% (0)","98% (87)","33% (14)","47% (39)","65% (30)","50% (4)","34% (19)","43% (16)","83% (30)","41% (20)","44% (59)","60% (28)"
"More Than 100 (Total)","52% (93)","66% (79)","26% (14)","0% (0)","0% (0)","0% (0)","53% (79)","42% (5)","100% (91)","2% (2)","67% (29)","53% (44)","35% (16)","50% (4)","66% (37)","57% (21)","17% (6)","59% (29)","56% (74)","40% (19)"
"  101 - 500","50% (90)","63% (76)","26% (14)","0% (0)","0% (0)","0% (0)","51% (76)","42% (5)","97% (88)","2% (2)","65% (28)","52% (43)","33% (15)","50% (4)","66% (37)","51% (19)","17% (6)","57% (28)","53% (71)","40% (19)"
"  501+","2% (3)","3% (3)","0% (0)","0% (0)","0% (0)","0% (0)","2% (3)","0% (0)","3% (3)","0% (0)","2% (1)","1% (1)","2% (1)","0% (0)","0% (0)","5% (2)","0% (0)","2% (1)","2% (3)","0% (0)"
"Mean (overall)","168","199.6","110.8","NaN","50","85","173","140.4","259.8","74.1","211.5","171.4","127.9","129.4","207.1","193.1","97.3","160.7","182.4","127.3"
"Mean (minus outliers)","152.5","180","81","NaN","46.3","85","161.2","121.4","243.1","74.1","198.7","135.5","98.4","105","207.1","142.3","75.9","146.3","169.3","122.5"
"Median (overall)","125","150","80",NA,"50","85","150","100","201","75","175","150","95","125","165","150","77.5","150","150","100"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a2a","","","","","","","","","","","","","","","","","","","",""
"Recommend a non-statin lipid-lowering agent for patients on maximally tolerated statins with LDL-C levels ?55 mg/dL","58% (105)","61% (73)","49% (26)","0% (0)","100% (5)","50% (1)","57% (85)","67% (8)","63% (57)","54% (48)","65% (28)","61% (51)","50% (23)","38% (3)","68% (38)","62% (23)","53% (19)","49% (24)","62% (82)","49% (23)"
"Recommend a non-statin lipid-lowering agent for patients on maximally tolerated statins with LDL-C levels ?70 mg/dL","36% (65)","36% (43)","42% (22)","0% (0)","0% (0)","0% (0)","37% (56)","25% (3)","34% (31)","38% (34)","33% (14)","34% (28)","39% (18)","63% (5)","30% (17)","32% (12)","36% (13)","45% (22)","32% (42)","49% (23)"
"Recommend a non-statin lipid-lowering agent for patients on maximally tolerated statins with LDL-C levels ?100 mg/dL","6% (10)","3% (4)","9% (5)","0% (0)","0% (0)","50% (1)","6% (9)","8% (1)","3% (3)","8% (7)","2% (1)","5% (4)","11% (5)","0% (0)","2% (1)","5% (2)","11% (4)","6% (3)","7% (9)","2% (1)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a2b","","","","","","","","","","","","","","","","","","","",""
"Recommend a statin first","66% (118)","65% (78)","64% (34)","0% (0)","80% (4)","100% (2)","65% (97)","75% (9)","62% (56)","70% (62)","72% (31)","63% (52)","65% (30)","63% (5)","68% (38)","62% (23)","64% (23)","69% (34)","66% (88)","64% (30)"
"Recommend a statin + ezetimibe first","32% (58)","33% (40)","32% (17)","0% (0)","20% (1)","0% (0)","33% (49)","25% (3)","37% (34)","27% (24)","28% (12)","36% (30)","28% (13)","38% (3)","32% (18)","35% (13)","33% (12)","27% (13)","32% (42)","34% (16)"
"Recommend a PCSK9i first","2% (4)","2% (2)","4% (2)","0% (0)","0% (0)","0% (0)","3% (4)","0% (0)","1% (1)","3% (3)","0% (0)","1% (1)","7% (3)","0% (0)","0% (0)","3% (1)","3% (1)","4% (2)","2% (3)","2% (1)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: a5","","","","","","","","","","","","","","","","","","","",""
"Within 3 months","53% (65)","57% (45)","43% (16)","0% (0)","40% (2)","100% (2)","52% (52)","67% (6)","58% (33)","48% (32)","68% (15)","45% (26)","57% (21)","50% (3)","63% (19)","56% (15)","44% (12)","49% (18)","54% (49)","48% (16)"
"4-6 months","28% (34)","25% (20)","32% (12)","0% (0)","40% (2)","0% (0)","28% (28)","33% (3)","21% (12)","33% (22)","18% (4)","31% (18)","24% (9)","50% (3)","20% (6)","22% (6)","37% (10)","30% (11)","28% (25)","27% (9)"
"7-12 months","15% (18)","11% (9)","22% (8)","0% (0)","20% (1)","0% (0)","16% (16)","0% (0)","14% (8)","15% (10)","9% (2)","17% (10)","16% (6)","0% (0)","13% (4)","19% (5)","15% (4)","14% (5)","14% (13)","15% (5)"
"Over a year","5% (6)","6% (5)","3% (1)","0% (0)","0% (0)","0% (0)","4% (4)","0% (0)","7% (4)","3% (2)","5% (1)","7% (4)","3% (1)","0% (0)","3% (1)","4% (1)","4% (1)","8% (3)","3% (3)","9% (3)"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"TABLE: us_state","","","","","","","","","","","","","","","","","","","",""
"30 or Less (Total)","50% (90)","46% (55)","58% (31)","0% (0)","40% (2)","100% (2)","50% (75)","42% (5)","51% (46)","49% (44)","51% (22)","49% (41)","52% (24)","38% (3)","43% (24)","62% (23)","56% (20)","45% (22)","48% (64)","55% (26)"
"  2 - 19","38% (68)","32% (38)","51% (27)","0% (0)","40% (2)","50% (1)","40% (60)","17% (2)","40% (36)","36% (32)","35% (15)","39% (32)","39% (18)","38% (3)","30% (17)","49% (18)","39% (14)","37% (18)","35% (46)","47% (22)"
"  20 - 30","12% (22)","14% (17)","8% (4)","0% (0)","0% (0)","50% (1)","10% (15)","25% (3)","11% (10)","13% (12)","16% (7)","11% (9)","13% (6)","0% (0)","13% (7)","14% (5)","17% (6)","8% (4)","14% (18)","9% (4)"
"More Than 30 (Total)","50% (90)","54% (65)","42% (22)","0% (0)","60% (3)","0% (0)","50% (75)","58% (7)","49% (45)","51% (45)","49% (21)","51% (42)","48% (22)","63% (5)","57% (32)","38% (14)","44% (16)","55% (27)","52% (69)","45% (21)"
"  31 - 40","31% (55)","35% (42)","21% (11)","0% (0)","40% (2)","0% (0)","31% (46)","25% (3)","29% (26)","33% (29)","26% (11)","30% (25)","30% (14)","63% (5)","43% (24)","16% (6)","22% (8)","33% (16)","32% (43)","26% (12)"
